Date,A,B,C,D,E,F,G,H,I,J,K,L,M
109/01/02,"8,212,565","524,953,530",64.3,64.3,63.5,64,-0.3,"4,818",63.95,64.75,64.4,63.6,63.15
109/01/03,"7,229,367","462,658,609",64,64.2,63.5,64.2,0.2,"3,753",64.025,64.725,64.55,63.85,63.325
109/01/06,"14,527,954","908,791,002",62.4,63.3,61.5,63,-1.2,"5,388",62.7,64.5,63.9,62.1,60.9
109/01/07,"13,139,415","819,100,237",62.5,62.7,61.7,62.6,-0.4,"4,066",62.4,63.4,63.1,62.1,61.4
109/01/08,"6,632,136","413,549,450",61.8,62.6,61.8,62.4,-0.2,"2,355",62.3,63.1,62.8,62,61.5
109/01/09,"4,931,541","310,887,011",62.5,63.5,62.4,63.1,0.7,"2,171",63.025,64.125,63.65,62.55,61.925
109/01/10,"7,789,946","496,953,846",63.1,64.1,63.1,64,0.9,"3,252",63.8,64.8,64.5,63.5,62.8
109/01/13,"5,858,080","373,447,320",64,64.1,63,64.1,0.1,"2,974",63.825,64.925,64.65,63.55,62.725
109/01/14,"7,456,035","480,425,233",64.3,64.6,63.9,64.6,0.5,"3,758",64.425,65.125,64.95,64.25,63.725
109/01/15,"8,788,837","568,909,250",64.6,65,64.4,64.6,0,"3,939",64.65,65.25,64.9,64.3,64.05
109/01/16,"7,655,506","496,429,026",64.8,65,64.4,65,0.4,"3,999",64.85,65.45,65.3,64.7,64.25
109/01/17,"6,270,195","407,251,114",65,65.2,64.7,65,0,"3,665",64.975,65.475,65.25,64.75,64.475
109/01/20,"3,718,133","241,444,606",65,65.1,64.8,65,0,"1,575",64.975,65.275,65.15,64.85,64.675
109/01/30,"22,651,696","1,412,886,605",63.5,63.5,61.3,61.6,-3.4,"8,104",62,64.2,62.7,60.5,59.8
109/01/31,"12,648,920","787,447,440",61.6,62.8,61.6,62,0.4,"3,446",62.1,63.3,62.6,61.4,60.9
109/02/03,"12,538,606","761,101,305",60,61.9,59.7,61.1,-0.9,"5,721",60.95,63.15,62.2,60,58.75
109/02/04,"7,625,538","471,909,564",61,62.3,60.8,61.8,0.7,"2,687",61.675,63.175,62.55,61.05,60.175
109/02/05,"10,940,429","680,943,875",61.9,62.8,61.5,62.2,0.4,"4,357",62.175,63.475,62.85,61.55,60.875
109/02/06,"7,356,149","465,425,754",62.8,63.7,62.4,63.5,1.3,"3,023",63.275,64.575,64.15,62.85,61.975
109/02/07,"6,313,054","400,248,523",63.4,63.7,62.8,63.7,0.2,"2,910",63.475,64.375,64.15,63.25,62.575
109/02/10,"5,635,808","356,461,098",62.8,63.6,62.2,63.5,-0.2,"2,660",63.2,64.6,64.2,62.8,61.8
109/02/11,"6,193,506","395,741,467",63.5,64.4,63.3,63.8,0.3,"2,808",63.825,64.925,64.35,63.25,62.725
109/02/12,"5,625,421","362,030,844",63.6,64.5,63.6,64.3,0.5,"3,230",64.175,65.075,64.75,63.85,63.275
109/02/13,"6,336,760","409,953,561",64.2,65,64.2,64.8,0.5,"3,256",64.7,65.5,65.2,64.4,63.9
109/02/14,"8,473,400","544,736,900",64,64.9,63.9,64,-0.8,"3,297",64.2,65.2,64.5,63.5,63.2
109/02/17,"6,061,111","383,838,339",63,63.8,62.7,63.6,-0.4,"2,490",63.425,64.525,64.15,63.05,62.325
109/02/18,"8,384,820","526,703,021",63,63.4,62.1,63.1,-0.5,"3,239",62.925,64.225,63.75,62.45,61.625
109/02/19,"4,328,961","273,480,019",63,63.5,62.5,63.3,0.2,"2,047",63.15,64.15,63.8,62.8,62.15
109/02/20,"4,264,077","269,423,466",63.5,63.5,63,63.2,-0.1,"1,806",63.225,63.725,63.45,62.95,62.725
109/02/21,"5,153,796","324,637,848",63,63.3,62.7,63,-0.2,"1,945",63,63.6,63.3,62.7,62.4
109/02/24,"7,615,282","476,234,366",62,63,62,63,0,"3,058",62.75,63.75,63.5,62.5,61.75
109/02/25,"5,280,276","331,634,348",62.2,63.1,62.2,62.8,-0.2,"2,343",62.725,63.625,63.25,62.35,61.825
109/02/26,"8,620,941","539,073,259",62.1,62.9,62.1,62.6,-0.2,"2,245",62.55,63.35,63,62.2,61.75
109/02/27,"7,586,203","472,057,317",62.3,62.7,62,62,-0.6,"2,550",62.175,62.875,62.35,61.65,61.475
109/03/02,"14,853,195","912,642,795",60.2,62,60.2,61.6,-0.4,"6,058",61.35,63.15,62.5,60.7,59.55
