Date,A,B,C,D,E,F,G,
2022/02,"41,006,414","1,668,689,886",40.5,41.5,40.2,40.3,"27,705",
2022/01,"44,483,862","1,818,825,199",40.45,41.9,40.05,40.55,"27,775",
2021/12,"120,141,115","4,797,250,651",40.85,40.9,39.25,40.55,"48,514",
2021/11,"50,303,376","2,063,770,169",40.4,42.1,40.15,40.25,"27,227",
2021/10,"36,276,214","1,516,083,538",41.65,42.65,40.75,41.5,"20,452",
2021/09,"38,650,732","1,643,162,321",41.95,44.6,41,41.7,"22,355",
2021/08,"47,048,612","1,983,260,195",44.6,44.6,40.45,43.9,"26,734",
2021/07,"40,116,898","1,627,425,904",40.7,41.4,39.25,40.4,"20,541",
2021/06,"56,805,113","2,286,528,641",39.55,41.65,39.5,39.85,"27,559",
2021/05,"61,931,390","2,536,008,535",41.55,44.1,38.05,41.1,"29,315",
2021/04,"47,321,216","1,942,661,293",43.95,44.3,39.3,43.25,"24,142",
2021/03,"35,712,774","1,393,777,951",39.3,39.55,38.6,39.4,"19,171",
2021/02,"32,097,708","1,249,487,585",39.45,39.85,37.6,39.2,"14,063",
2021/01,"34,764,051","1,366,937,436",38.1,41.5,37.9,37.95,"18,268",
2020/12,"45,772,614","1,758,454,635",39.1,39.25,37.55,38.8,"21,234",
2020/11,"31,985,362","1,244,981,683",38.8,39.75,38,38.2,"20,557",
2020/10,"39,229,152","1,527,355,944",39.3,40.2,36.8,38.75,"21,242",
2020/09,"23,699,266","869,115,938",37,37.4,36,37,"10,948",
2020/08,"36,712,120","1,345,271,274",37.1,37.5,35.8,36.55,"18,022",
2020/07,"48,609,982","1,723,809,258",35.45,36.3,34.35,35.9,"23,261",
2020/06,"156,652,159","5,788,829,705",36.45,39.6,31.35,35.9,"55,143",
2020/05,"46,467,634","1,514,354,927",31.8,34.2,30.7,31.1,"20,043",
2020/04,"34,850,271","1,043,906,582",31.35,32.4,27.8,31.95,"17,946",
2020/03,"100,303,456","3,079,706,760",28.4,37.8,25.25,28.35,"41,225",
2020/02,"39,580,828","1,424,693,387",37.3,38,33.1,36.75,"17,297",
2020/01,"34,946,659","1,213,961,640",34.25,36.3,33.25,34.3,"15,473",
